Date,ARG,AUS,BEL,BRA,CAN,CHN,COL,CZE,FRA,DEU,IND,IDN,IRN,ITA,JAP,KOR,MEX,NLD,RUS,SAU,SGP,ZAF,ESP,TUR,GBR,USA
1_24_2020,0,0,0,0,0,2.915789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1_25_2020,0,0,0,0,0,1.754512635,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_26_2020,0,0,0,0,0,1.37654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_27_2020,0,0.25,0,0,0,1.198804185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1_28_2020,0,0,0,0,0,3.281795511,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1_29_2020,0,0,0,0,0,0.219604863,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_30_2020,0,3,0,0,0,3.553633218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_31_2020,0,0,0,0,0,0.808666018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2_1_2020,0,0,0,0,0,1.257676099,0,0,0,3,0,0,0,0,1.25,0.142857143,0,0,0,0,1,0,0,0,0,0
2_2_2020,0,0,0,0,0,2.268549545,0,0,0,0.666666667,0,0,0,0,0,3,0,0,0,0,0.666666667,0,0,0,0,0
2_3_2020,0,0,0,0,0,0.651192235,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_4_2020,0,0,0,0,0,1.293259883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_5_2020,0,0,0,0,0,0.935354548,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0.666666667,0,0,0,0,0
2_6_2020,0,0,0,0,0,0.843021698,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0
2_7_2020,0,1,0,0,0,1.119478869,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
2_8_2020,0,0,0,0,0,0.767527675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0
2_9_2020,0,0,0,0,0,1.115014793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,0,0,0,0,0.25
2_10_2020,0,0,0,0,0,0.83747927,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.714285714,0,0,0,0,0
2_11_2020,0,0,0,0,0,0.804752475,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.4,0,0,0,0,0
2_12_2020,0,0,0,0,0,0.183562992,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5,0,0,0,0,1
2_13_2020,0,0,0,0,0,40.57908847,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2.666666667,0,0,0,0,1
2_14_2020,0,0,0,0,0,0.426995243,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.125,0,0,0,0,1
2_15_2020,0,0,0,0,0,0.317963794,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0.555555556,0,0,0,0,0
2_16_2020,0,0,0,0,0,1.02189781,0,0,0,0,0,0,0,0,0.545454545,0,0,0,0,0,0.6,0,0,0,0,0
